SAMSUNG SGH-F250 SAMSUNG SGH-X630,1 600  ₽,Первомайская,https://www.avito.ru/moskva/telefony/samsung_sgh-f250_samsung_sgh-x630_1356707702
SAMSUNG galaxy A50,7 500  ₽,Красносельская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a50_1911495186
SAMSUNG a20,8 000  ₽,Ховрино,https://www.avito.ru/moskva/telefony/samsung_a20_1822730684
Дисплей SAMSUNG A300F Galaxy A3 (2015) синий,1 000  ₽,Царицыно,https://www.avito.ru/moskva/telefony/displey_samsung_a300f_galaxy_a3_2015_siniy_1029725564
SAMSUNG Galaxy S10 Black,20 000  ₽,Площадь революции,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10_black_1896678944
Телефон SAMSUNG galaxy s8,10 000  ₽,Тверская,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_s8_1914208807
SAMSUNG Galaxy S8 64Gb,13 000  ₽,Тушинская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_64gb_1906196885
SAMSUNG galaxy s3,2 000  ₽,Смоленская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s3_1204870817
SAMSUNG E1150 Все цвета Новые,4 900  ₽,Охотный ряд,https://www.avito.ru/moskva/telefony/samsung_e1150_vse_tsveta_novye_1374023565
SAMSUNG galaxy a5 2017 32 gb. gold sand,5 080  ₽,Хорошево,https://www.avito.ru/moskva/telefony/samsung_galaxy_a5_2017_32_gb._gold_sand_1897261873
SAMSUNG Galaxy Note 10+ Голограмма,6 900  ₽,Рассказовка,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_gologramma_1893186427
Телефон SAMSUNG Galaxy A71,25 000  ₽,Щелковская,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_a71_1873019206
SAMSUNG Galaxy M40 white,3 900  ₽,Киевская,https://www.avito.ru/moskva/telefony/samsung_galaxy_m40_white_1916975685
Телефон SAMSUNG Galaxy S4 Mini,1 500  ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_s4_mini_1897105121
SAMSUNG Galaxy A60/2019,7 000  ₽,Международная,https://www.avito.ru/moskva/telefony/samsung_galaxy_a602019_1900853835
SAMSUNG galaxy S8.Оригинал.рст,15 900  ₽,Площадь революции,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8.original.rst_1466174318
SAMSUNG Galaxy M30s Черный,5 490  ₽,Озёрная,https://www.avito.ru/moskva/telefony/samsung_galaxy_m30s_chernyy_1893702625
SAMSUNG a80,21 000  ₽,,https://www.avito.ru/moskva/telefony/samsung_a80_1896480243
SAMSUNG Galaxy Note 10 Plus Белый,6 900  ₽,Бабушкинская,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_plus_belyy_1893073818
SAMSUNG A40,11 000  ₽,Кузнецкий мост,https://www.avito.ru/moskva/telefony/samsung_a40_1905774515
SAMSUNG Galaxy A50 64G,9 500  ₽,Павелецкая,https://www.avito.ru/moskva/telefony/samsung_galaxy_a50_64g_1905790853
SAMSUNG galaxy note 4 SM-N910C,3 900  ₽,Ростокино,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_4_sm-n910c_1863440058
SAMSUNG Galaxy S5 SM-G900F 16GB,2 990  ₽,Краснопресненская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s5_sm-g900f_16gb_1864082368
Стекло плюс замена,4 000  ₽,Окружная,https://www.avito.ru/moskva/telefony/steklo_plyus_zamena_1859392444
